"ISO3","Area","cpc_name1","Element","Unit","Year","value","Item","grouped"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2001,3130057,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2002,3131578,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2003,3436186,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2004,3565161,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2005,3525671,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2006,3622575,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2007,3627910,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2008,3869025,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2009,4002264,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2010,4243833,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2011,4269000,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2012,4386862,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2013,4343813,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2014,4326788,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2015,4039780,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2016,3779082,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2017,3549659,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2018,3137713,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2019,3096135,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2020,3096136,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2021,3281297,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2022,3489929,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2023,3217851,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1992,4341417,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1993,4543070,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1994,4217583,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1995,4367388,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1996,4679836,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1997,4057200,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1998,4127765,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1999,4337129,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2000,4353587,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2001,4415621,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2002,4438876,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2003,4898329,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2004,5091912,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2005,5014657,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2006,5145156,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2007,5149052,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2008,5487773,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2009,5720135,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2010,6002585,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2011,5994440,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2012,6201472,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2013,6147972,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2014,6207386,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2015,5773347,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2016,5431726,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2017,5088791,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2018,4570726,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2019,4553123,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2020,4540555,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2021,4816956,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2022,5154544,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2023,4686962,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1992,926261,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1993,921318,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1994,1100402,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1995,1173221,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1996,1221904,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1997,1216618,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1998,887641,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1999,990693,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2000,1210121,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2001,1321626,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2002,1460797,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2003,1520955,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2004,1667626,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2005,1634530,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2006,1822464,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2007,2066810,NA,"yes"
"IDN","Indonesia","Eggs of hens or other birds in shell, fresh","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2008,1983020,NA,"yes"
