"iso3","capital","lon","lat"
"SYR","Damascus",36.3119,33.5146
"TCA","Grand Turk",-71.141389,21.4602778
"TCD","N'Djamena",15.0445,12.1048
"TGO","Lome",1.2255,6.1228
"THA","Bangkok",100.521,13.7308
"TJK","Dushanbe",68.7864,38.5878
"TKM","Ashgabat",58.3794,37.9509
"TLS","Dili",125.567,-8.56667
"TON","Nuku'alofa",-175.216,-21.136
"TTO","Port-of-Spain",-61.4789,10.6596
"TUN","Tunis",10.21,36.7899
"TUR","Ankara",32.3606,39.7153
"TUV","Funafuti",179.089567,-8.6314877
"TZA","Dodoma",35.7382,-6.17486
"UGA","Kampala",32.5729,0.314269
"UKR","Kiev",30.5038,50.4536
"URY","Montevideo",-56.0675,-34.8941
"USA","Washington D.C.",-77.032,38.8895
"UZB","Tashkent",69.269,41.3052
"VCT","Kingstown",-61.2653,13.2035
"VEN","Caracas",-69.8371,9.08165
"VGB","Road Town",-64.623056,18.431389
"VIR","Charlotte Amalie",-64.8963,18.3358
"VNM","Hanoi",105.825,21.0069
"VUT","Port-Vila",168.321,-17.7404
"WSM","Apia",-171.752,-13.8314
"XKX","Pristina",20.926,42.565
"YEM","Sana'a",44.2075,15.352
"ZAF","Pretoria",28.1871,-25.746
"ZMB","Lusaka",28.2937,-15.3982
"ZWE","Harare",31.0672,-17.8312
