"ISO3","Area","Country Group","UN Region","EBRD Region","cpc_name1","Element","Unit","Year","value","Item","grouped"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2000,3995.8,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2001,5826.7,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2002,6170.3,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2003,5943.3,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2004,5946,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2005,5802,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2006,3956,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2007,4129.3,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2008,3820.9,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2009,3805.7,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2010,3923.5,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2011,3462.7,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2012,6557.2,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2013,8350.3,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2014,7028.1,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2015,9145,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2016,9517.9,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2017,10099.199999999999,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2018,10199.8,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2019,9762.4,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2020,9717.199999999999,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2021,10343.699999999999,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2022,10723.4,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Yield","kg/ha",2023,11102.1,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",1992,4702,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",1993,4159,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",1994,2773,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",1995,3025,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",1996,2365,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",1997,946,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",1998,1443,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",1999,1405,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2000,1426,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2001,1544,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2002,1772,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2003,1598,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2004,2089,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2005,2753,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2006,2561,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2007,2794,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2008,3636,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2009,3071,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2010,2982,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2011,2386,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2012,2370,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2013,2378,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2014,2815,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2015,2606,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2016,2979,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2017,3194,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2018,3188,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2019,3305,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2020,3449,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2021,3249,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2022,2954,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Area harvested","ha",2023,2945,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",1992,21564.96,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",1993,19953.33,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",1994,18206.33,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",1995,18697.1,NA,"yes"
