"ISO3","Area","Country Group","cpc_name1","Element","Unit","Year","value","Item","grouped"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2012,144880,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2013,142610,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2014,140370,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2015,134920,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2016,136450,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2017,135920,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2018,134820,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2019,130840,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2020,126550,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2021,124316,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2022,124166,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2023,122242,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",1992,5334400,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",1993,4912600,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",1994,5147000,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",1995,5053500,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",1996,4690000,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",1997,5046400,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",1998,4721300,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",1999,4486800,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2000,4478600,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2001,4497500,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2002,4567400,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2003,4327000,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2004,4336400,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2005,4254900,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2006,4049200,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2007,4263200,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2008,4178200,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2009,3896700,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2010,3555000,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2011,3668500,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2012,3777000,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2013,3735700,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2014,3729300,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2015,3541400,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2016,3419800,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2017,3571500,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2018,3420000,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2019,3513500,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2020,3257600,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2021,3222101.01,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2022,3345182.32,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Production","t",2023,3245708.03,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1992,99031.4,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1993,87637.79999999999,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1994,105456.7,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1995,102692.8,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1996,97727.1,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1997,102672,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1998,102934.5,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1999,102144.9,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2000,106486.90000000001,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2001,106494.6,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2002,107899.59999999999,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2003,103453.2,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2004,107130,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2005,108471,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2006,103443.2,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2007,107491.1,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2008,108279.4,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2009,104679.8,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2010,99414.2,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2011,101456.4,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2012,104066.90000000001,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2013,104871.3,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2014,104639.1,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2015,102867.7,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2016,100744.7,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2017,103848.8,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2018,101876.4,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2019,104421.09999999999,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2020,103112.2,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2021,105670.7,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2022,106297.2,NA,"yes"
"JPN","Japan","Eastern Asia","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2023,105545.2,NA,"yes"
