"ISO3","Area","Country Group","cpc_name1","Element","Unit","Year","value","Item","grouped"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2009,13749,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2010,13240,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2011,12896,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2012,12668,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2013,12634,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2014,12345,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2015,11836,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2016,11984,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2017,11728,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2018,11614,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2019,11686,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2020,11506,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2021,11616,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2022,11899,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2023,11505,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",1992,510800,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",1993,454400,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",1994,394700,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",1995,399800,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",1996,419500,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",1997,470800,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",1998,437200,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",1999,380600,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2000,356500,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2001,400600,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2002,390000,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2003,366800,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2004,396400,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2005,316600,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2006,378300,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2007,329800,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2008,398400,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2009,332500,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2010,333200,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2011,295500,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2012,304700,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2013,318000,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2014,357700,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2015,305200,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2016,350800,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2017,315500,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2018,326400,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2019,332200,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2020,361200,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2021,368900,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2022,376400,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Production","t",2023,313500,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1992,26772.9,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1993,24960.2,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1994,23084.6,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1995,22235.8,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1996,23132.1,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1997,26234.3,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1998,26841.8,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1999,25626.2,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2000,23589,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2001,26287.8,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2002,25614.1,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2003,25164.7,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2004,27943,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2005,23052.3,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2006,26932.9,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2007,22798.3,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2008,27819.3,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2009,24183.6,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2010,25166.2,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2011,22914.1,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2012,24052.7,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2013,25170.2,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2014,28975.3,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2015,25785.7,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2016,29272.4,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2017,26901.4,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2018,28104,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2019,28427.2,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2020,31392.3,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2021,31757.9,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2022,31632.9,NA,"yes"
"NOR","Norway","Northern Europe","Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2023,27249,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",1992,850800,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",1993,862050,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",1994,865030,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",1995,827760,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",1996,818960,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",1997,786450,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",1998,776650,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",1999,795080,NA,"yes"
