"ISO3","Area","Country Group","UN Region","EBRD Region","type","Item","unit","year","value","cpc_group","isscaap","grouped"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Molluscs","Q_tlw",1998,26,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Molluscs","Q_tlw",1999,27,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Molluscs","Q_tlw",2000,0,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Molluscs","Q_tlw",2001,0,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Molluscs","Q_tlw",2002,116,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",1992,6275,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",1993,11176,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",1994,7737,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",1995,10383,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",1996,10695,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",1997,8971,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",1998,10205,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",1999,5092,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2000,13306,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2001,11849,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2002,10425,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2003,15509,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2004,12232,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2005,22798,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2006,16123,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2007,21314,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2008,28626,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2009,20929,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2010,30518,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2011,32117,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2012,43720,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2013,31749,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2014,30755,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2015,34878,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2016,32830,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2017,48883,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2018,39194,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2019,37226,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2020,28531,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2021,33494,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2022,37241,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",1992,0,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",1993,0,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",1994,0,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",1995,0,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",1996,0,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",1997,11,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",1998,1.443,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",1999,0,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2000,110,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2001,171,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2002,108,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2003,159.23,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2004,109.049,NA,NA,"yes"
