"ISO3","Area","Country Group","UN Region","EBRD Region","type","Item","unit","year","value","cpc_group","isscaap","grouped"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",1995,4,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",1996,4,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",1997,4,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",1998,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",1999,38,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2000,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2001,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2002,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2003,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2004,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2005,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2006,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2007,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2008,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2009,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2010,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2011,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2012,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2013,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2014,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2015,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2016,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2017,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2018,0,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2019,59.82,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2020,50,"Crustaceans","Miscellaneous marine crustaceans","no"
