"ISO3","Area","Country Group","type","Item","unit","year","value","cpc_group","isscaap","grouped"
"CHN","China","Eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2008,941791,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2009,1005200,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2010,1029756,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2011,1074424,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2012,1197400,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2013,1282737,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2014,1370288,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2015,1374428,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2016,1504168,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2017,1631185,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2018,1702911,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2019,1743826,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2020,1775001,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2021,1854948,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2022,1952476,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2003,104992,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2004,127694,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2005,149185,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2006,154914,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2007,172505,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2008,182162,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2009,197853,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2010,190503,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2011,231640,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2012,239392,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2013,245309,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2014,238769,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2015,251910,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2016,268810,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2017,276487,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2018,288463,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2019,308619,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2020,313707,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2021,321959,NA,NA,"yes"
"CHN","China","Eastern Asia","BRACKISHWATER","Fish","Q_tlw",2022,331626,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",1992,228509,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",1993,132672,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",1994,113504,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",1995,172055,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",1996,265525,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",1997,370313,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",1998,381984,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",1999,349029,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2000,287450,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2001,282816,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2002,245290,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2003,296711,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2004,212856,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2005,281377,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2006,234433,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2007,260798,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2008,272219,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2009,268751,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2010,260604,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2011,229505.15,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2012,244228,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2013,244570.3,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2014,227081.36,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2015,226161.78,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2016,211566.54,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2017,195564.369,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2018,183303.6,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2019,163639.505,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2020,143955.776,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2021,153453,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2022,157938.002,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",1992,100000,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",1993,124250,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",1994,151000,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",1995,150000,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",1996,151630,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",1997,170300,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",1998,151130,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",1999,186960,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2000,175260,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2001,227680,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2002,252820,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2003,251660,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2004,321440,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2005,261790,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2006,270410,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2007,328600,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2008,366100,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2009,276170,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2010,246620,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2011,274060,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2012,257640,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2013,283010,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2014,245550,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2015,261770,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2016,231707,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2017,203490,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2018,183490,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2019,174450,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2020,219780,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2021,204380,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Aquatic plants","Q_tlw",2022,193980,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",1992,1158788,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",1993,1441958,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",1994,1790747,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",1995,1978607,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",1996,2276720,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",1997,2385695,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",1998,2646074,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",1999,2576625,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2000,2718995,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2001,2701269,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2002,2828539,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2003,2254282,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2004,2306352,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2005,2346995,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2006,2625159,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2007,2417926,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2008,2274995,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2009,2346860,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2010,2388813,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2011,2431538,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2012,2555838.151,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2013,2661563.431,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2014,2774591.958,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2015,2774330.903,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2016,2533465.205,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2017,2403402.516,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2018,2278762.786,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2019,2207371.39,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2020,2086765.658,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2021,2032146.935,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Crustaceans","Q_tlw",2022,2068098.089,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",1992,5875478,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",1993,6422439,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",1994,7335692,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",1995,8449814,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",1996,10128205,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",1997,9833739,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",1998,10214682,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",1999,10068723,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2000,9572432,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2001,9060354,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2002,8973527,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2003,9991668,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2004,9910298,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2005,10012702,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2006,9872528,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2007,9885575,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2008,10303974,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2009,10397586,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2010,10345350,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2011,10510703,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2012,10454277,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2013,10529737.713,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2014,10919001.093,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2015,11047140.006,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2016,11402682.833,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2017,10976753.427,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2018,10489256.725,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2019,10032726.559,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2020,9447291.566,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2021,9074516.064000001,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Fish","Q_tlw",2022,9069934.909,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",1992,1059777,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",1993,1354368,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",1994,1626893,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",1995,1962230,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",1996,1511657,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",1997,1959814,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",1998,2078698,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",1999,2026740,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2000,2069729,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2001,2131756,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2002,2126420,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2003,1804613,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2004,2035297,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2005,1947866,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2006,1993176,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2007,2094737,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2008,1939975,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2009,1773613,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2010,1812670,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2011,1817809,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2012,1934335,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2013,1914686,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2014,2197142,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2015,2338532,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2016,1639840,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2017,1797475,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2018,1696296,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2019,1591706,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2020,1548190,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2021,1678341,NA,NA,"yes"
"CHN","China","Eastern Asia","CAPTURE","Molluscs","Q_tlw",2022,1689126,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",1994,4400,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",1995,17445,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",1996,32004,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",1997,41410,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",1998,55514,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",1999,67520,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2000,80466,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2001,98916,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2002,100712,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2003,199777,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2004,212746,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2005,240380,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2006,257231,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2007,285097,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2008,306038,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2009,338980,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2010,357772,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2011,370120,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2012,407632,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2013,426432,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2014,426819,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2015,428088,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2016,461592,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2017,459553,NA,NA,"yes"
"CHN","China","Eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",2018,469012,NA,NA,"yes"
