"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"ISR","Sweden","ODA Grants","Emergency Response",1992,0,0
"ISR","Switzerland","ODA Grants","Development Food Assistance",1992,0,0
"ISR","Switzerland","ODA Grants","Development Food Assistance",1993,0,0
"ISR","Switzerland","ODA Grants","Development Food Assistance",1994,0,0
"ISR","Switzerland","ODA Grants","Education",1992,0,0
"ISR","Switzerland","ODA Grants","Emergency Response",1992,0,0
"ISR","Switzerland","ODA Grants","Emergency Response",1993,0,0
"ISR","Switzerland","ODA Grants","Emergency Response",1994,0,0
"ISR","Switzerland","ODA Grants","Emergency Response",1995,0,0
"ISR","Switzerland","ODA Grants","Emergency Response",1996,0,0
"ISR","United States","ODA Grants","General Budget Support",1992,0,0
"ISR","United States","ODA Grants","General Budget Support",1993,0,0
"ISR","United States","ODA Grants","General Budget Support",1994,0,0
"ISR","United States","ODA Grants","General Budget Support",1995,0,0
"ISR","United States","ODA Grants","General Budget Support",1996,0,0
"ISR","United States","ODA Grants","Other Multisector",1993,0,0
"ISR","United States","ODA Loans","Development Food Assistance",1992,0,0
"ISR","United States","ODA Loans","Development Food Assistance",1993,0,0
"ISR","United States","ODA Loans","Development Food Assistance",1994,0,0
"ISR","United States","ODA Loans","Development Food Assistance",1995,0,0
"ISR","United States","ODA Loans","Development Food Assistance",1996,0,0
"ISR","United States","ODA Loans","General Budget Support",1992,0,0
"ISR","United States","ODA Loans","General Budget Support",1993,0,0
"ISR","United States","ODA Loans","General Budget Support",1994,0,0
"ISR","United States","ODA Loans","General Budget Support",1995,0,0
"ISR","United States","ODA Loans","General Budget Support",1996,0,0
"ISR","United States","ODA Loans","Other Commodity Assistance",1992,0,0
"ISR","United States","ODA Loans","Other Commodity Assistance",1993,0,0
"ISR","United States","ODA Loans","Other Commodity Assistance",1994,0,0
"ISR","United States","ODA Loans","Other Commodity Assistance",1995,0,0
"ISR","United States","ODA Loans","Other Commodity Assistance",1996,0,0
"ISR","United States","ODA Loans","Unallocated / Unspecified",1992,0,0
"ISR","United States","ODA Loans","Unallocated / Unspecified",1993,0,0
"ISR","United States","ODA Loans","Unallocated / Unspecified",1994,0,0
"ISR","United States","ODA Loans","Unallocated / Unspecified",1995,0,0
"ISR","United States","ODA Loans","Unallocated / Unspecified",1996,0,0
"ISR","United States","Other Official Flows (non Export Credit)","Unallocated / Unspecified",1992,0,0
"ISR","United States","Other Official Flows (non Export Credit)","Unallocated / Unspecified",1993,0,0
"ISR","United States","Other Official Flows (non Export Credit)","Unallocated / Unspecified",1994,0,0
