"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"BHR","France","ODA Grants","Other Multisector",1995,0.018055,0.022622
"BHR","France","ODA Grants","Other Multisector",1996,0.181309,0.229847
"BHR","France","ODA Grants","Other Multisector",1997,0.141757,0.203255
"BHR","France","ODA Grants","Other Multisector",1998,0.014196,0.020386
"BHR","France","ODA Grants","Other Multisector",1999,0.040324,0.060293
"BHR","France","ODA Grants","Other Multisector",2000,0.005191,0.008848
"BHR","France","ODA Grants","Other Multisector",2001,0.007165,0.012333
"BHR","France","ODA Grants","Other Multisector",2002,0.018716,0.029996
"BHR","France","ODA Grants","Other Multisector",2003,0.010597,0.013917
"BHR","France","ODA Grants","Other Multisector",2004,0.011157,0.013109
"BHR","France","ODA Grants","Other Social Infrastructure & Services",1994,0.196863,0.277555
"BHR","France","ODA Grants","Other Social Infrastructure & Services",1995,1.425082,1.785584
"BHR","France","ODA Grants","Other Social Infrastructure & Services",1996,0.224186,0.284203
"BHR","France","ODA Grants","Other Social Infrastructure & Services",1997,0.193949,0.278091
"BHR","France","ODA Grants","Other Social Infrastructure & Services",1998,0.079176,0.113699
"BHR","France","ODA Grants","Other Social Infrastructure & Services",1999,0.053601,0.080145
"BHR","France","ODA Grants","Other Social Infrastructure & Services",2000,0.038329,0.065337
"BHR","France","ODA Grants","Other Social Infrastructure & Services",2001,0.037614,0.064747
"BHR","France","ODA Grants","Other Social Infrastructure & Services",2002,0.030243,0.048468000000000004
"BHR","France","ODA Grants","Other Social Infrastructure & Services",2003,0.037928,0.049808
"BHR","France","ODA Grants","Other Social Infrastructure & Services",2004,0.037098,0.043591
"BHR","Germany","ODA Grants","Education",1999,0,0
"BHR","Germany","ODA Grants","Education",2000,0,0
"BHR","Germany","ODA Grants","Education",2001,0.020599,0.037648
"BHR","Germany","ODA Grants","Education",2002,0,0
"BHR","Germany","ODA Grants","Education",2003,0.034855,0.0491
"BHR","Germany","ODA Grants","Education",2004,0.02978,0.037718
"BHR","Germany","ODA Grants","Other Multisector",2002,0.024503,0.04193
"BHR","Germany","ODA Grants","Other Social Infrastructure & Services",1999,0,0
"BHR","Germany","ODA Grants","Other Social Infrastructure & Services",2000,0,0
"BHR","Germany","ODA Grants","Other Social Infrastructure & Services",2001,0.00806,0.014732
"BHR","Germany","ODA Grants","Other Social Infrastructure & Services",2002,0.0065970000000000004,0.011289
"BHR","Germany","ODA Grants","Other Social Infrastructure & Services",2003,0.019794,0.027885
"BHR","Islamic Development Bank","ODA Grants","Agriculture, Forestry, Fishing",1994,0,0
"BHR","Islamic Development Bank","ODA Grants","Banking & Financial Services",1998,0,0
"BHR","Islamic Development Bank","ODA Grants","Banking & Financial Services",2002,0,0
"BHR","Islamic Development Bank","ODA Grants","Education",2004,0,0
"BHR","Islamic Development Bank","ODA Loans","Water Supply & Sanitation",1998,0,0
"BHR","Islamic Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",1994,0,0
"BHR","Islamic Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",1999,0,0
"BHR","Islamic Development Bank","Other Official Flows (non Export Credit)","Energy",1996,0,0
"BHR","Islamic Development Bank","Other Official Flows (non Export Credit)","Energy",1997,0,0
"BHR","Islamic Development Bank","Other Official Flows (non Export Credit)","Energy",1998,0,0
"BHR","Islamic Development Bank","Other Official Flows (non Export Credit)","Energy",1999,0,0
"BHR","Islamic Development Bank","Other Official Flows (non Export Credit)","Energy",2001,0,0
"BHR","Islamic Development Bank","Other Official Flows (non Export Credit)","Energy",2004,0,0
"BHR","Islamic Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2001,0,0
"BHR","Islamic Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2003,0,0
"BHR","Islamic Development Bank","Other Official Flows (non Export Credit)","Water Supply & Sanitation",1998,0,0
"BHR","Japan","ODA Grants","Agriculture, Forestry, Fishing",2003,0.049698,0.040823
"BHR","Japan","ODA Grants","Communications",2003,0.007852,0.006449
"BHR","Japan","ODA Grants","Education",2003,0.11147599999999999,0.09156800000000001
"BHR","Japan","ODA Grants","Education",2004,0.091859,0.071177
"BHR","Japan","ODA Grants","Energy",2004,0.017761,0.013762
"BHR","Japan","ODA Grants","General Environment Protection",2003,0.027179,0.022325
"BHR","Japan","ODA Grants","Government & Civil Society",2004,0.015541,0.012042
"BHR","Japan","ODA Grants","Industry, Mining, Construction",2003,0.032615,0.02679
"BHR","Japan","ODA Grants","Industry, Mining, Construction",2004,0.005458,0.004229
"BHR","Japan","ODA Grants","Other Social Infrastructure & Services",2003,0.001639,0.001347
"BHR","Japan","ODA Grants","Other Social Infrastructure & Services",2004,0.006475,0.005018
"BHR","Japan","ODA Grants","Transport & Storage",2003,0.024331,0.019986
"BHR","Japan","ODA Grants","Unallocated / Unspecified",2003,0.050303,0.041318
"BHR","Japan","ODA Grants","Unallocated / Unspecified",2004,0.007216,0.005591
"BHR","Japan","ODA Grants","Water Supply & Sanitation",2004,0.016374,0.012687
"BHR","Netherlands","ODA Grants","Unallocated / Unspecified",2002,0.004712,0.008315
"BHR","Netherlands","ODA Grants","Unallocated / Unspecified",2003,0.01506,0.021676
"BHR","Netherlands","ODA Grants","Unallocated / Unspecified",2004,0.03813,0.049284
"BHR","UNDP","ODA Grants","Government & Civil Society",1999,0,0
"BHR","UNFPA","ODA Grants","Population Policies/Programmes",2001,0.008941,0.014246
"BHR","United States","ODA Grants","Government & Civil Society",2003,0.063,0.100033
