"ISO3","year","pop","type","value"
"NZL",2016,4793900,"large per 1000 people",3.1508792423705128
"NZL",2016,4793900,"total per 1000 people",107.43841131437868
"NIC",2017,6217581,"micro per 1000 people",24.668596999379663
"NIC",2017,6217581,"sme per 1000 people",3.2750679082427716
"NIC",2017,6217581,"large per 1000 people",0.069480397601575275
"NIC",2017,6217581,"total per 1000 people",28.01314530522401
"NGA",2013,171829303,"micro per 1000 people",215.2984232264505
"NGA",2013,171829303,"sme per 1000 people",0.4238974303469066
"NGA",2013,171829303,"large per 1000 people",NA
"NGA",2013,171829303,"total per 1000 people",215.7223206567974
"MKD",2016,2081206,"micro per 1000 people",24.132161833091004
"MKD",2016,2081206,"sme per 1000 people",1.5111430583997931
"MKD",2016,2081206,"large per 1000 people",0.07207359579013323
"MKD",2016,2081206,"total per 1000 people",25.71537848728093
"MNP",2012,53305,"micro per 1000 people",12.90685676765782
"MNP",2012,53305,"sme per 1000 people",9.530062845886876
"MNP",2012,53305,"large per 1000 people",2.6826751711846915
"MNP",2012,53305,"total per 1000 people",25.119594784729387
"NOR",2015,5190239,"micro per 1000 people",51.62035890832773
"NOR",2015,5190239,"sme per 1000 people",4.789567493905387
"NOR",2015,5190239,"large per 1000 people",0.11984033875896659
"NOR",2015,5190239,"total per 1000 people",56.52976674099208
"OMN",2018,4636262,"micro per 1000 people",NA
"OMN",2018,4636262,"sme per 1000 people",6.902112089437568
"OMN",2018,4636262,"large per 1000 people",NA
"OMN",2018,4636262,"total per 1000 people",6.902112089437568
"PAK",2005,157971415,"micro per 1000 people",18.549887648977506
"PAK",2005,157971415,"sme per 1000 people",0.17583560924614114
"PAK",2005,157971415,"large per 1000 people",NA
"PAK",2005,157971415,"total per 1000 people",18.72572325822365
"PAN",2009,3579385,"micro per 1000 people",13.963013199194833
"PAN",2009,3579385,"sme per 1000 people",2.3213484998121188
"PAN",2009,3579385,"large per 1000 people",0.6023381111559667
"PAN",2009,3579385,"total per 1000 people",16.88669981016292
"PRY",2010,6209877,"micro per 1000 people",34.820013343259454
"PRY",2010,6209877,"sme per 1000 people",1.0397951521423048
"PRY",2010,6209877,"large per 1000 people",0.24106757670079457
"PRY",2010,6209877,"total per 1000 people",36.10087607210255
"PER",2016,32165485,"micro per 1000 people",51.3616070144753
"PER",2016,32165485,"sme per 1000 people",2.3847300918981946
"PER",2016,32165485,"large per 1000 people",0.2787459912387455
"PER",2016,32165485,"total per 1000 people",54.02508309761224
"PHL",2016,103320222,"micro per 1000 people",7.944185408351135
"PHL",2016,103320222,"sme per 1000 people",0.8804955916567814
"PHL",2016,103320222,"large per 1000 people",0.038308086484754166
"PHL",2016,103320222,"total per 1000 people",8.862989086492671
"POL",2016,37975841,"micro per 1000 people",42.664466601279486
"POL",2016,37975841,"sme per 1000 people",1.87956337820142
"POL",2016,37975841,"large per 1000 people",0.0872923393585938
"POL",2016,37975841,"total per 1000 people",44.6313223188395
"PRT",2016,10293718,"micro per 1000 people",77.08361546333404
"PRT",2016,10293718,"sme per 1000 people",3.7637518338854825
"PRT",2016,10293718,"large per 1000 people",0.07849447595125493
"PRT",2016,10293718,"total per 1000 people",80.92586177317078
"PRI",2016,3406520,"micro per 1000 people",9.448058429130022
"PRI",2016,3406520,"sme per 1000 people",3.2282211758627573
"PRI",2016,3406520,"large per 1000 people",0.04197832392001221
"PRI",2016,3406520,"total per 1000 people",12.718257928912791
"QAT",2015,2481539,"micro per 1000 people",8.73449903467163
"QAT",2015,2481539,"sme per 1000 people",8.572099813865508
"QAT",2015,2481539,"large per 1000 people",0.6012397951432559
"QAT",2015,2481539,"total per 1000 people",17.907838643680396
"ROU",2016,19586539,"micro per 1000 people",21.030004331035716
"ROU",2016,19586539,"sme per 1000 people",2.6572331130068463
"ROU",2016,19586539,"large per 1000 people",0.08454786218228753
"ROU",2016,19586539,"total per 1000 people",23.77178530622485
"RUS",2015,144096870,"micro per 1000 people",13.810175057931515
"RUS",2015,144096870,"sme per 1000 people",1.7463738108954066
"RUS",2015,144096870,"large per 1000 people",NA
"RUS",2015,144096870,"total per 1000 people",15.556548868826921
"RWA",2017,12208407,"micro per 1000 people",14.07628366256138
"RWA",2017,12208407,"sme per 1000 people",0.829264620683108
"RWA",2017,12208407,"large per 1000 people",0.021460621357069765
"RWA",2017,12208407,"total per 1000 people",14.927008904601557
"SMR",2017,33400,"micro per 1000 people",141.2874251497006
"SMR",2017,33400,"sme per 1000 people",7.15568862275449
"SMR",2017,33400,"large per 1000 people",1.1377245508982037
"SMR",2017,33400,"total per 1000 people",149.58083832335328
"SAU",2017,32938213,"micro per 1000 people",25.874749185695045
"SAU",2017,32938213,"sme per 1000 people",3.8030903498013084
"SAU",2017,32938213,"large per 1000 people",NA
"SAU",2017,32938213,"total per 1000 people",29.677839535496354
"SEN",2016,15850567,"micro per 1000 people",25.269766311829727
"SEN",2016,15850567,"sme per 1000 people",0.4117273533495679
"SEN",2016,15850567,"large per 1000 people",0.05146591916869599
"SEN",2016,15850567,"total per 1000 people",25.73295958434799
