"ISO3","INFORM RISK","RISK CLASS","Rank","HAZARD & EXPOSURE","VULNERABILITY","LACK OF COPING CAPACITY"
"MYS","2.9","Low","115","2.6","3.4","2.9"
"MDV","2.2000000000000002","Low","154","1.5","1.8","3.8"
"MLI","7","Very High","14","8.1","6.5","6.4"
"MLT","1.7","Very Low","177","0.9","2","2.5"
"MHL","3.9","Medium","75","2.5","4.4000000000000004","5.2"
"MRT","4.8","Medium","45","3.3","5.5","6"
"MUS","2.2000000000000002","Low","154","1.7","2.2999999999999998","2.7"
"MEX","5.5","High","32","8.8000000000000007","4.2","4.4000000000000004"
"FSM","3.4","Medium","92","1.7","4.5999999999999996","5"
"MDA","3.1","Low","103","1.8","4.0999999999999996","4.2"
"MNG","2.9","Low","115","1.6","3.4","4.5"
"MNE","2.8","Low","123","1.8","4.0999999999999996","3.1"
"MAR","3.7","Medium","79","3.4","3.2","4.7"
"MOZ","6.9","Very High","16","7.2","7.4","6.2"
"MMR","7.2","Very High","11","9","6.2","6.6"
"NAM","4","Medium","71","2.2999999999999998","5.7","4.9000000000000004"
"NRU","2.6","Low","131","0.9","4","4.9000000000000004"
"NPL","4.0999999999999996","Medium","65","3","4.2","5.3"
"NLD","2.2000000000000002","Low","154","2.9","2.7","1.3"
"NZL","1.5","Very Low","183","2.1","0.9","1.9"
"NIC","4.3","Medium","56","3.6","4.2","5.4"
"NER","7.3","Very High","9","7.2","7.3","7.4"
"NGA","6.8","High","17","8.5","6.2","6"
"MKD","2.5","Low","136","1.7","2.5","3.6"
"NOR","1.8","Very Low","173","1.5","2.5","1.6"
"OMN","2.5","Low","136","2.8","1.4","4"
"PAK","6.4","High","20","8.6999999999999993","5.8","5.3"
"PLW","2.2000000000000002","Low","154","1.2","2.4","3.6"
"PSE","5.9","High","25","7.9","6.2","4.2"
"PAN","3.6","Medium","86","3","3.8","4"
"PNG","5.7","High","27","4","6","7.7"
"PRY","2.5","Low","136","1.4","2.8","4.0999999999999996"
"PER","4.9000000000000004","Medium","42","5.0999999999999996","5.3","4.4000000000000004"
"PHL","5.4","High","35","8.4","4.7","4.0999999999999996"
"POL","2.5","Low","136","1.5","3.6","2.9"
"PRT","1.9","Very Low","169","1.8","2.1","1.9"
"QAT","1.4","Very Low","186","1","1.1000000000000001","2.5"
"ROU","2.5","Low","136","2","2.5","3.1"
"RUS","5.0999999999999996","High","39","7.5","3.6","4.8"
"RWA","3.5","Medium","89","1.6","5.7","4.8"
"KNA","1.8","Very Low","173","1.6","1.3","2.9"
"LCA","2.7","Low","126","1.9","2.6","4.0999999999999996"
"VCT","2.4","Low","144","1.8","2.2000000000000002","3.3"
"WSM","3","Low","109","1.7","3.9","4"
"STP","2.4","Low","144","0.7","3.8","5.4"
"SAU","2.8","Low","123","3.4","2.1","3.1"
"SEN","4.0999999999999996","Medium","65","2.7","4.7","5.3"
"SRB","2.9","Low","115","1.9","3.4","3.6"
