"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Export value","1000 USD",2015,585
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Export value","1000 USD",2016,62
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Export value","1000 USD",2017,124
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Export value","1000 USD",2018,620
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Export value","1000 USD",2019,1171
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Export value","1000 USD",2020,843
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Export value","1000 USD",2021,1261
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",1998,1
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",1999,11
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",2001,7
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",2002,11
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",2003,5
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",2004,8
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",2005,12
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",2006,22
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",2007,24
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",2008,45
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",2009,21
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",2010,28
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",2011,27
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",2012,54
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",2013,67
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",2014,87
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",1998,41
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",1999,25
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2001,17
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2002,20
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2003,17
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2004,41
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2006,2
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2008,15
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2009,5
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2012,227
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2013,207
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2014,127
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2015,363
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2016,340
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2017,1092
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2018,1649
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2019,1433
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2020,1425
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2021,1728
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Import value","1000 USD",1998,307
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Import value","1000 USD",1999,807
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Import value","1000 USD",2001,178
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Import value","1000 USD",2002,198
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Import value","1000 USD",2003,138
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Import value","1000 USD",2004,136
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Import value","1000 USD",2006,80
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Import value","1000 USD",2016,66
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Import value","1000 USD",2018,184
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Import value","1000 USD",2019,179
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Import value","1000 USD",2020,238
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Hop cones","Import value","1000 USD",2021,268
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Export value","1000 USD",2017,3
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Export value","1000 USD",2018,4
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Export value","1000 USD",2019,5
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Export value","1000 USD",2021,4
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2001,1
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2004,1
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2005,7
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2006,1
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2010,2
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2012,4
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2013,7
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2014,2
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2015,1
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2016,1
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2017,3
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2018,5
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2019,21
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2020,21
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2021,11
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Export value","1000 USD",1998,17
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Export value","1000 USD",1999,25
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Export value","1000 USD",2001,2
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Export value","1000 USD",2002,5
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Export value","1000 USD",2004,2
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Export value","1000 USD",2009,2
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Export value","1000 USD",2013,4
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Export value","1000 USD",2014,8
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Export value","1000 USD",2015,2
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Export value","1000 USD",2016,1
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Export value","1000 USD",2017,1
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Export value","1000 USD",2018,2
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Export value","1000 USD",2019,1
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Export value","1000 USD",2020,13
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Export value","1000 USD",2021,3
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Import value","1000 USD",1998,21
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Import value","1000 USD",1999,31
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Import value","1000 USD",2001,95
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Import value","1000 USD",2002,87
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Import value","1000 USD",2003,94
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Import value","1000 USD",2004,107
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Import value","1000 USD",2005,68
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Import value","1000 USD",2006,82
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Import value","1000 USD",2007,75
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Import value","1000 USD",2008,143
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Import value","1000 USD",2009,120
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Import value","1000 USD",2010,131
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Import value","1000 USD",2011,169
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Import value","1000 USD",2012,125
"BLR","Belarus","RUS","Russian Federation","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Import value","1000 USD",2013,164
